impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
NCCL,256,1024,5.185,1.783,4.000,24.000,197.493
NCCL,512,2048,5.290,1.538,4.000,24.000,387.146
NCCL,1024,4096,5.215,1.967,4.000,23.000,785.427
NCCL,2048,8192,5.060,1.329,4.000,16.000,1618.972
NCCL,4096,16384,5.055,1.128,4.000,16.000,3241.147
NCCL,8192,32768,5.015,0.803,4.000,13.000,6533.998
NCCL,16384,65536,5.200,0.985,4.000,18.000,12603.077
NCCL,32768,131072,5.495,1.367,5.000,18.000,23852.957
NCCL,65536,262144,5.590,0.890,5.000,16.000,46895.170
NCCL,131072,524288,5.840,1.707,5.000,29.000,89775.342
NCCL,262144,1048576,5.660,1.007,5.000,18.000,185260.777
NCCL,524288,2097152,5.925,3.134,5.000,49.000,353949.705
NCCL,1048576,4194304,5.630,0.503,5.000,7.000,744991.829
NCCL,2097152,8388608,5.645,0.489,5.000,7.000,1486024.446
NCCL,4194304,16777216,6.450,8.284,5.000,99.000,2601118.760
NCCL,8388608,33554432,5.350,0.766,5.000,14.000,6271856.449
NCCL,16777216,67108864,5.630,0.493,5.000,7.000,11919869.272
NCCL,33554432,134217728,5.940,0.870,5.000,14.000,22595577.104
NCCL,67108864,268435456,5.550,0.747,5.000,13.000,48366748.829
NCCL,134217728,536870912,5.805,1.207,5.000,20.000,92484222.567
NCCL,268435456,1073741824,7.420,18.072,5.000,234.000,144709140.701
NCCL,536870912,2147483648,5.095,0.613,4.000,13.000,421488449.068
NCCL,1073741824,4294967296,5.130,0.568,4.000,10.000,837225593.762
NCCL,2147483648,8589934592,5.135,0.487,5.000,10.000,1672820757.936
Classic,256,1024,246.445,50.114,123.000,373.000,4.155
Classic,512,2048,242.455,55.944,125.000,379.000,8.447
Classic,1024,4096,236.465,72.035,101.000,379.000,17.322
Classic,2048,8192,239.320,43.458,159.000,337.000,34.230
Classic,4096,16384,241.515,60.425,111.000,375.000,67.838
Classic,8192,32768,263.630,59.716,114.000,408.000,124.295
Classic,16384,65536,262.445,59.865,131.000,376.000,249.713
Classic,32768,131072,264.010,45.175,147.000,372.000,496.466
Classic,65536,262144,277.810,57.670,178.000,751.000,943.609
Classic,131072,524288,290.130,43.921,162.000,389.000,1807.080
Classic,262144,1048576,1929.925,1001.020,1604.000,16039.000,543.325
Classic,524288,2097152,1979.880,796.422,1653.000,12782.000,1059.232
Classic,1048576,4194304,2139.615,971.671,1737.000,10085.000,1960.308
Classic,2097152,8388608,2586.905,4455.533,1528.000,52309.000,3242.720
Classic,4194304,16777216,2442.025,1184.143,1756.000,16553.000,6870.206
Classic,8388608,33554432,2982.765,1107.431,2159.000,12763.000,11249.439
Classic,16777216,67108864,3811.380,1269.206,2934.000,17257.000,17607.498
Classic,33554432,134217728,5171.725,1521.954,4099.000,14960.000,25952.217
Classic,67108864,268435456,8175.700,2143.727,6877.000,23672.000,32833.330
Classic,134217728,536870912,13939.545,1870.870,12436.000,25668.000,38514.235
Classic,268435456,1073741824,26245.215,3083.792,23446.000,47271.000,40911.908
Classic,536870912,2147483648,50804.300,3729.445,46637.000,71905.000,42269.722
Classic,1073741824,4294967296,97607.300,3209.926,92249.000,112249.000,44002.521
Classic,2147483648,8589934592,193752.220,5232.265,184513.000,215924.000,44334.638
Async,256,1024,673.890,63.008,492.000,842.000,1.520
Async,512,2048,570.340,67.942,306.000,753.000,3.591
Async,1024,4096,628.930,69.130,439.000,808.000,6.513
Async,2048,8192,575.360,87.726,330.000,772.000,14.238
Async,4096,16384,507.845,58.451,379.000,679.000,32.262
Async,8192,32768,365.510,49.551,235.000,518.000,89.650
Async,16384,65536,480.215,66.736,295.000,640.000,136.472
Async,32768,131072,491.185,77.249,281.000,669.000,266.849
Async,65536,262144,494.930,86.130,274.000,1021.000,529.659
Async,131072,524288,568.580,67.289,410.000,762.000,922.101
Async,262144,1048576,2359.925,1332.496,1050.000,13152.000,444.326
Async,524288,2097152,2399.200,1443.599,1213.000,15127.000,874.105
Async,1048576,4194304,2434.215,1728.003,1330.000,22146.000,1723.062
Async,2097152,8388608,2461.535,1586.578,1214.000,18004.000,3407.877
Async,4194304,16777216,4444.260,1744.394,3233.000,17154.000,3775.030
Async,8388608,33554432,5009.630,3047.450,3409.000,28653.000,6697.986
Async,16777216,67108864,5512.275,2706.657,4010.000,29641.000,12174.440
Async,33554432,134217728,6582.270,1947.578,5264.000,21349.000,20390.796
Async,67108864,268435456,8886.850,2086.283,7428.000,23583.000,30205.917
Async,134217728,536870912,13654.295,2708.778,11937.000,27612.000,39318.831
Async,268435456,1073741824,22958.830,2077.921,21112.000,36673.000,46768.142
Async,536870912,2147483648,42866.665,3002.813,40150.000,58437.000,50096.821
Async,1073741824,4294967296,83764.645,4088.631,79623.000,103692.000,51274.225
Async,2147483648,8589934592,163811.570,6719.924,157762.000,217366.000,52437.899
